uid	C	h	|S|
46037408	0.718016	0.0907747	16
15943715	1.30542	0.568487	4
17576806	2.84243	0.647071	9
17519222	0.586151	0.552611	2
15447400	0.721588	0.59963	2
21460496	2.02028	0.431439	47
173387492	0.673655	0.566978	2
17194090	0.4667	0.362314	2
16050296	3.47221	0.442359	35
40348955	0.443975	0.335358	2
52254968	0.448864	0.2869	2
8402052	-0.0	0.786699	1
16716129	0.648539	0.59306	2
28211629	0.516091	0.36887	2
20192882	0.713429	0.707362	2
11673662	3.41336	0.778996	12
1717291	2.98776	0.551866	27
1394361	0.526617	0.391348	2
15683948	2.3311	0.485221	75
9734372	0.64086	0.457652	3
15463771	2.81911	0.514459	22
90203791	0.526617	0.455914	2
34146256	0.5583	0.497968	2
73359595	0.410129	0.280754	2
28018958	1.78173	0.759163	4
188085022	0.661252	0.555905	2
12984	0.855319	0.357808	4
22457041	0.769041	0.719051	2
235235930	0.537566	0.468896	2
84217059	3.5827	0.572569	93
18929690	0.68186	0.300624	4
14746460	3.19542	0.649659	10
15706037	0.76099	0.707789	2
193544915	0.437625	0.364143	2
144892029	4.00807	0.74494	24
119086671	0.615872	0.546314	2
36880462	4.32386	0.494821	33
260548343	0.701133	0.684625	2
145315512	0.391361	0.252758	2
17215826	3.6149	0.538589	108
18239795	0.664142	0.603337	2
85481462	1.00551	0.401857	5
9175912	6.80848	0.526925	298
197074340	0.419673	0.33035	2
53324525	0.284251	0.225318	2
216464216	1.09144	0.502064	4
226625808	0.309254	0.1423	2
172397445	0.573812	0.517325	2
156743304	0.860781	0.3702	6
220052633	0.289819	0.0933651	2
16363738	0.557135	0.530874	2
174649888	0.551273	0.505868	2
27386308	0.378273	0.241448	2
18507464	0.826413	0.7983	2
86528620	0.315309	0.176744	2
77972784	0.271836	0.131711	2
95927735	4.93634	0.537118	78
14349894	1.02267	0.424635	6
27325141	0.414425	0.282073	2
12611642	0.572108	0.484296	2
90420645	0.827641	0.383849	3
9926562	0.524157	0.41247	2
9543992	0.580575	0.532598	2
60642052	0.809928	0.794674	2
15747743	0.40119	0.374682	2
239221322	5.76261	0.549192	219
14652452	4.24428	0.463925	338
5683952	0.719455	0.708668	2
21507298	5.40095	0.399982	140
133575658	-0.0	0.32165	1
25740983	0.467376	0.455813	2
15446200	0.691239	0.650624	2
126346398	0.399249	0.296835	3
270781759	0.131684	0.0661081	2
208161241	3.67442	0.769177	16
155971406	1.0032	0.431721	4
72661977	1.24487	0.571954	4
14335761	3.18034	0.49453	127
811051	0.450255	0.30536	2
142042209	0.653466	0.590601	2
14562004	0.987385	0.448523	4
45526985	0.715159	0.614786	2
12372812	1.12149	0.692141	8
188092633	2.58628	0.614529	13
166394396	1.41319	0.5078	5
119395435	0.481226	0.44081	2
19650336	1.06194	0.619008	5
25911549	2.63725	0.526094	15
13683762	3.13838	0.623215	32
36292512	3.87462	0.598023	32
119546373	0.60471	0.518038	2
17150292	0.62267	0.548719	2
31619861	6.85265	0.607315	309
24849387	0.740734	0.733214	2
97361708	0.624227	0.580536	2
19519071	0.588918	0.514756	2
181520337	0.267867	0.185056	2
49464688	1.58467	0.240375	39
26470645	0.644065	0.619965	2
75192691	0.506016	0.42835	2
43600056	0.544757	0.526553	2
40362652	1.4243	0.684774	4
66759379	2.72853	0.702338	14
15689313	4.42232	0.51316	205
175222812	0.473427	0.447093	2
197962366	0.564093	0.518261	2
17506774	1.00633	0.708671	5
14179549	1.10341	0.508962	5
25799963	0.648044	0.614331	2
92694911	0.37905	0.318667	2
7449512	0.434081	0.375127	2
8159652	0.524773	0.459905	2
26744291	5.41971	0.310976	86
167686055	0.550093	0.544552	2
14330959	0.770556	0.66394	2
175405668	0.317028	0.212861	2
152352981	0.488631	0.48162	2
24975816	0.502833	0.345446	2
127686449	0.577767	0.499659	2
19771162	0.632965	0.586541	2
119113698	0.382923	0.341297	2
263288991	1.07959	0.285907	7
126979577	0.42403	0.371654	2
271118582	0.504745	0.487242	2
129176641	0.581135	0.436083	2
73779154	0.629897	0.513129	2
43337452	0.587259	0.477375	2
96477730	-0.0	0.769815	1
23437737	0.618497	0.590511	2
75141533	0.219244	0.159499	2
26874644	0.558882	0.514449	2
235737404	0.34881	0.302564	2
203652149	0.749595	0.696641	2
197156324	1.19439	0.289926	8
17224082	1.00043	0.48918	4
108357234	0.328086	0.239247	2
68241308	0.677184	0.339843	3
158269738	0.162326	0.0614597	2
18262412	4.93584	0.522964	173
20567743	3.87506	0.580633	83
703953	0.632455	0.590998	2
138274446	0.443273	0.328046	2
26312359	3.19267	0.688976	21
19410436	0.331449	0.301716	2
186250318	0.610918	0.453285	3
114049072	0.536012	0.436993	3
113619900	5.7267	0.546285	246
76000222	0.614291	0.575852	2
19552126	0.737703	0.402537	5
20951716	0.577767	0.511164	2
216994183	0.587597	0.280681	3
262537144	0.645329	0.294912	3
21975870	0.848104	0.35683	4
11674822	0.535755	0.479622	2
27257879	2.77624	0.336974	228
14131420	0.378417	0.126834	4
10400902	0.944785	0.418274	4
169234290	0.468051	0.42527	2
19475375	0.529067	0.513227	2
17343595	4.61942	0.549463	93
156783397	0.591673	0.525198	2
101142166	0.762922	0.750255	2
242354131	0.659801	0.591157	2
27865199	0.413817	0.40233	2
114467024	0.776022	0.324728	5
27071190	0.820616	0.384113	3
8883702	0.694861	0.663419	2
38668559	0.453025	0.234263	2
224255455	2.47048	0.333684	95
211787112	0.462629	0.328437	2
25874451	0.711258	0.692219	2
159563937	0.994681	0.523858	3
183163917	0.560624	0.505534	2
6018562	1.11105	0.598209	3
206358757	0.633984	0.602531	2
24303	-0.0	0.604737	1
73341141	3.50708	0.518105	16
59580078	2.13351	0.714609	11
16148602	0.545352	0.479891	2
226777208	-0.0	0.628243	1
52504402	1.74577	0.499246	8
42381705	1.20822	0.33143	6
50832715	0.895522	0.403982	4
106185357	0.52594	0.392173	3
13225072	0.616923	0.603919	2
270308750	0.392883	0.344414	2
50193	0.686214	0.634723	2
16630502	0.691239	0.684848	2
58912749	4.95424	0.509322	345
132220676	0.326398	0.230115	2
172238478	0.60471	0.576079	2
20660609	2.03328	0.23256	28
94380830	0.466023	0.317632	2
5778852	0.506016	0.451614	2
219486031	0.490587	0.412538	2
17971670	3.73876	0.695757	79
6535242	0.664142	0.638115	2
90404746	1.02722	0.53413	3
14850221	0.410868	0.308558	2
16177296	1.60923	0.469359	7
136817353	0.509182	0.46195	2
94686506	0.418944	0.346667	2
14524060	3.89401	0.572826	122
220578999	0.223295	0.192553	2
19790013	0.492537	0.487731	2
130158543	0.558882	0.410644	2
148055679	0.416752	0.257299	2
175344254	0.763549	0.29498	4
51240919	0.309254	0.215721	2
25163231	0.757878	0.739495	2
22883967	3.6485	0.227288	39
39619991	0.472088	0.423548	2
18162777	0.923839	0.420532	4
39932500	1.48752	0.519663	12
27018757	4.08801	0.350703	80
15917510	1.03274	0.49026	4
132526387	4.34937	0.494216	109
59608784	0.4599	0.28168	2
196310571	0.681136	0.621966	2
20351695	0.491887	0.451606	2
169655919	1.48157	0.168666	13
17734669	3.74626	0.24347	59
31962068	0.519206	0.467413	2
149532313	0.704075	0.338974	3
29015085	0.395159	0.278991	2
95354168	0.192127	0.16706	2
19062153	1.36982	0.59186	5
18368098	0.651501	0.598444	2
15051601	1.16485	0.903115	4
28017930	0.622695	0.351072	4
97985235	0.333959	0.289796	2
23420024	0.617448	0.568774	2
134670236	3.07514	0.623314	15
204390536	0.58504	0.530519	2
159163111	-0.0	0.521572	1
262445429	4.06432	0.526498	57
254359278	0.219244	0.109733	2
14517899	0.524773	0.515371	2
39935911	-0.0	0.657411	1
16249213	0.709142	0.443423	4
50060799	3.34913	0.223307	13
15600217	0.718346	0.466827	5
117477071	4.26391	0.418689	54
89492277	0.710377	0.338302	3
110866731	5.08948	0.587686	171
104901157	0.541771	0.48477	2
170394787	1.97695	0.657226	18
155883945	0.262676	0.244806	2
22360594	0.441868	0.265236	2
101221067	0.338949	0.289973	2
230476419	0.43051	0.375809	2
14099516	0.983468	0.336898	3
156765445	0.362519	0.281082	2
123324025	0.934158	0.481352	3
17641457	0.671767	0.668101	2
123778145	0.540587	0.186004	5
14437914	4.27401	0.654279	32
251487559	4.0285	0.66569	65
48900286	2.58981	0.379781	137
159541164	0.567542	0.354654	2
257467966	0.592771	0.559555	2
123963067	0.586151	0.536885	2
175821057	0.734997	0.666268	2
14376840	0.542967	0.48459	2
40443752	0.720633	0.362151	3
21690938	-0.0	0.725334	1
109460638	0.574378	0.556664	2
26850477	0.605246	0.563493	2
221180607	0.684467	0.720524	2
19003668	0.713871	0.551453	3
47791995	2.13917	0.282359	119
200713835	3.3389	0.285493	264
83277670	0.34636	0.260467	2
238856347	1.98101	0.564502	5
15706633	-0.0	0.409366	1
46189928	0.386004	0.340952	2
23953237	0.614291	0.559572	2
15441074	2.57494	0.661734	29
16897237	2.21596	0.481798	22
67603734	2.11541	0.262748	80
27682973	1.91182	0.733368	5
224812015	0.546908	0.393564	3
199624094	3.39779	0.443928	15
80655938	-0.0	0.684081	1
48892632	0.588366	0.561197	2
